Director,Year,Title,Country,Length,Genre,Col
"Anderson, Michael",1976,Logan's Run,US,120,Science Fiction-Adventure-Action,Col
"Anderson, Paul Thomas",1996,Hard Eight/Sydney,US,101,Drama-Crime,Col
"Anderson, Paul Thomas",1997,Boogie Nights,US,155,Drama,Col
"Anderson, Paul Thomas",1999,Magnolia,US,188,Drama,Col-BW
"Anderson, Paul Thomas",2002,Punch-Drunk Love,US,95,Romance-Drama-Comedy,Col
"Anderson, Paul Thomas",2007,There Will Be Blood,US,158,Drama,Col
"Anderson, Paul W.S.",1997,Event Horizon,US-UK,95,Science Fiction-Horror,Col
"Anderson, Robin & Bob Connolly",1992,Black Harvest,Australia,90,Documentary,Col
"Anderson, Wes",1996,Bottle Rocket,US,95,Crime-Comedy,Col
"Anderson, Wes",1998,Rushmore,US,93,Comedy,Col
"Anderson, Wes",2001,"Royal Tenenbaums, The",US,109,Drama-Comedy,Col
"Anderson, Wes",2004,"Life Aquatic with Steve Zissou, The",US,118,Drama-Comedy-Adventure,Col
"Anderson, Wes",2007,"Darjeeling Limited, The",US,91,Adventure-Comedy-Drama,Col
"Anderson, Wes",2009,Fantastic Mr. Fox,US,87,Animated-Adventure-Comedy,Col
"Andersson, Roy",1970,"Swedish Love Story, A",Sweden,115,Drama-Romance,Col
"Andersson, Roy",2000,Songs from the Second Floor,Sweden-France-Denmark-Norway-Germany,98,Drama,Col
"Andersson, Roy",2007,"You, the Living",Sweden-Germany-France-Denmark-Norway-Japan,93,Comedy-Drama,Col
"Andonov, Metodi",1972,"Goat Horn, The",Bulgaria,100,Drama,Col-BW
"Andrien, Jean-Jacques",1981,"Grand paysage d'Alexis Droeven, Le",Belgium,88,Drama,Col
"Angelopoulos, Theo",1970,Reconstruction ,Greece,100,Crime-Drama,BW
"Angelopoulos, Theo",1975,"Travelling Players, The",Greece,230,Political-Drama,Col
"Angelopoulos, Theo",1977,"Hunters, The",Greece,168,Drama,Col
"Angelopoulos, Theo",1980,Alexander the Great ,Greece-Italy,235,Drama,Col
"Angelopoulos, Theo",1984,Voyage to Cythera,Greece,120,Drama,Col
"Angelopoulos, Theo",1986,"Beekeeper, The/O Melissokomos",France-Greece-Italy,122,Drama,Col
"Angelopoulos, Theo",1988,Landscape in the Mist,Greece-France-Italy,125,Drama,Col
"Angelopoulos, Theo",1991,"Suspended Step of the Stork, The",Greece,151,Romance-Drama,Col
"Angelopoulos, Theo",1995,Ulysses' Gaze,Greece-France-Italy,180,War-Drama,Col-BW
"Angelopoulos, Theo",1998,Eternity and a Day,Greece-France-Italy-Germany,132,Drama,Col
"Angelopoulos, Theo",2004,Trilogy: The Weeping Meadow,Greece-France-Italy-Germany,170,Romance-Drama,Col
"Anger, Kenneth",1947,Fireworks ,US,20,Drama-Short,BW
"Anger, Kenneth",1949,Puce Moment,US,6,Short,Col
"Anger, Kenneth",1950,Rabbit's Moon,US,7,Short,BW
"Anger, Kenneth",1953,Eaux d'artifice,US,12,Short,Col-BW
"Anger, Kenneth",1954,Inauguration of the Pleasure Dome,US,38,Short,Col
"Anger, Kenneth",1964,Scorpio Rising,US,29,Short-Avant-Garde,Col
"Anger, Kenneth",1965,Kustom Kar Kommandos,US,3,Short,Col
"Anger, Kenneth",1969,Invocation of My Demon Brother,US,12,Short-Horror,Col
"Anger, Kenneth",1972,Lucifer Rising,US-UK-West Germany,29,Short,Col
"Annakin, Ken",1959,Third Man on the Mountain,US,105,Adventure-Drama-Family,Col
"Annakin, Ken",1960,Swiss Family Robinson,US,128,Family-Adventure,Col
"Annakin, Ken",1965,Those Magnificent Men in Their Flying Machines,US,132,Comedy-Adventure,Col
"Annakin, Ken",1969,Those Daring Young Men in Their Jaunty Jalopies,UK-US,93,Comedy,Col
"Annakin, Ken/Andrew Marton/Bernhard Wicki",1962,"Longest Day, The",US,180,War-Drama-Action,BW
"Annakin, Ken/Arthur Crabtree/Harold French/Ralph Smart",1949,Quartet,UK,120,Drama-Comedy,BW
"Annaud, Jean-Jacques",1981,Quest for Fire,Canada-France,97,Historical-Adventure-Drama,Col
"Annaud, Jean-Jacques",1986,"Name of the Rose, The",France-Germany-Italy,130,Mystery-Historical-Thriller,Col
"Annaud, Jean-Jacques",1989,"Bear, The",France,93,Adventure-Family-Drama,Col
"Annaud, Jean-Jacques",1992,"Amant, L'",France-UK,110,Drama-Biography-Romance,Col
"Anno, Hideaki & Kazuya Tsurumaki",1997,End of Evangelion,Japan,87,Fantasy-Animated,Col
"Anspaugh, David",1986,Hoosiers,US,114,Sports,Col
"Anspaugh, David",1993,Rudy,US,112,Sports,Col
"Anstey, Edgar & Arthur Elton",1935,Housing Problems,UK,16,Short-Documentary,BW
"Antal, Nimrod",2003,Kontroll,Hungary,110,---,Col
"Anthony, Joseph",1972,Tomorrow,US,103,Drama,BW
"Antonioni, Michelangelo",1950,Story of a Love Affair/Cronaca di un amore,Italy,98,Crime-Drama-Romance,BW
"Antonioni, Michelangelo",1953,"Lady Without Camelias, The",Italy,105,Drama,BW
"Antonioni, Michelangelo",1955,"Amiche, Le/Girlfriends",Italy,104,Drama,BW
"Antonioni, Michelangelo",1957,"Grido, Il",Italy,111,Drama,BW
"Antonioni, Michelangelo",1960,"Avventura, L'",Italy-France,145,Drama-Mystery-Romance,BW
"Antonioni, Michelangelo",1961,"Notte, La",Italy-France,120,Drama,BW
"Antonioni, Michelangelo",1962,"Eclisse, L'",France-Italy,123,Drama,BW
"Antonioni, Michelangelo",1964,Red Desert,France-Italy,118,Drama,Col
"Antonioni, Michelangelo",1966,Blow-Up,Italy-UK,111,Mystery-Drama,Col
"Antonioni, Michelangelo",1970,Zabriskie Point,US,112,Drama,Col
"Antonioni, Michelangelo",1972,Chung Kuo - Cina,Italy,207,Documentary,Col
"Antonioni, Michelangelo",1975,"Passenger, The",Italy,119,Drama,Col
"Antonioni, Michelangelo",1982,Identificazione di una donna/Identification of a Woman,Italy-France,128,Drama,Col
"Antonioni, Michelangelo",1995,Beyond the Clouds,France-Italy-Germany,109,Romance-Drama,Col
"Antonioni, Michelangelo",2004,Michelangelo Eye to Eye,Italy,15,Documentary-Short,Col
"Aoyama, Shinji",2000,Eureka ,Japan-France,217,Drama,Col-BW
"Apatow, Judd",2005,"40-Year-Old Virgin, The",US,116,Romance-Comedy,Col
"Apatow, Judd",2007,Knocked Up,US,129,Comedy-Romance,Col
"Apatow, Judd",2009,Funny People,US,146,Comedy-Drama,Col
"Apfel, Oscar & Cecil B. DeMille",1914,"Squaw Man, The",US,74,Drama-Western,BW
"Apted, Michael",1975,Stardust,UK,97,Drama,Col
"Apted, Michael",1979,Agatha,US,98,Romance,Col
"Apted, Michael",1980,Coal Miner's Daughter,US,125,Musical-Biography-Drama,Col
"Apted, Michael",1982,"P'tang, Yang, Kipperbang ",UK,80,Comedy,Col
"Apted, Michael",1985,28 Up,UK,133,Documentary,Col-BW
"Apted, Michael",1988,Gorillas in the Mist,US,129,Biography-Drama,Col
"Apted, Michael",1991,35 Up,UK,128,Documentary,Col-BW
"Apted, Michael",1998,42 Up ,UK,139,Documentary,Col
"Apted, Michael",2001,Enigma,Netherlands-US-UK-Germany,119,Romance-Thriller,Col
"Apted, Michael",2005,49 Up ,UK,180,Documentary-Biography,Col
"Araki, Gregg",1992,"Living End, The",US,92,Comedy,Col
"Araki, Gregg",1995,"Doom Generation, The",US-France,85,Comedy-Crime-Drama,Col
"Araki, Gregg",1997,Nowhere,US-France,81,Comedy-Drama-Science Fiction,Col
"Araki, Gregg",2004,Mysterious Skin,US-Netherlands,105,Drama,Col
"Araki, Gregg",2007,Smiley Face,US-Germany,88,Adventure-Comedy,Col
"Aranda, Vicente",1972,"Blood Spattered Bride, The",Spain,82,Horror,Col
"Aranda, Vicente",1991,Lovers/Amantes,Spain,103,Drama-Crime,Col
"Arau, Alfonso",1991,Like Water for Chocolate,Mexico,113,Romance-Drama,Col
"Aravindan, Govindan",1978,Thampu,India,129,---,BW
"Aravindan, Govindan",1980,"Bogeyman, The/Kummatty",India,90,---,Col
"Arbuckle, Roscoe 'Fatty'",1915,Fatty's Tintype Tangle,US,20,Comedy-Short,BW
"Arbuckle, Roscoe 'Fatty'",1917,"Butcher Boy, The ",US,30,Short-Comedy,BW
"Arcand, Denys",1986,"Decline of the American Empire, The",Canada,101,Drama-Comedy,Col
"Arcand, Denys",1989,Jesus of Montreal,Canada-France,119,Drama,Col
"Arcand, Denys",2003,"Barbarian Invasions, The",Canada-France,99,Drama-Comedy,Col
"Archainbaud, George",1932,"Lost Squadron, The",US,79,Drama,BW
"Ardolino, Emile",1987,Dirty Dancing,US,97,Drama-Musical-Romance,Col
"Ardolino, Emile",1992,Sister Act,US,100,Comedy-Crime-Musical,Col
"Argall, Ray",1990,Return Home,Australia,87,Drama,Col
"Argento, Dario",1969,"Bird with the Crystal Plumage, The",Italy-West Germany,98,Horror-Crime-Mystery,Col
"Argento, Dario",1972,Four Flies on Grey Velvet,Italy,101,Mystery-Thriller,Col
"Argento, Dario",1975,Deep Red,Italy,98,Thriller-Horror-Mystery,Col
"Argento, Dario",1977,Suspiria,Italy,92,Horror,Col
